,ID,Categoria,Funcionalidade,Escopo Cli.,Status Tec.,Método Shift,Observações Negócio (Detalhamento Funcional),Observação Técnica,View Sugerida,Campos mínimos (proposta),Observação/Justificativa
21,18,Cadastro,Check-in Paciente,Sim,GAP Crítico,GAP (Order),"Fluxo completo de entrada: Cadastro manual de dados do paciente (Nome, CPF, Data Nasc) e seleção de exames para gerar um novo pedido (OS). Deve gerar etiqueta ao final do processo.",Cliente sinalizou que existe ja a integração sendo criada no Fastcomm de criação de pedido que faz a criação do pedido e pacientes juntos. Iremos validar essa integração.,VPortalCheckin_check_in_paciente_id18,"OsId, CodigoOs, CheckinStatus, CheckinDataHora, CheckinUsuario, Unidade, Origem","Check-in é ação (escrita). View ajuda apenas a exibir status/histórico. Para executar check-in, precisa API."
25,21,Logística,Enviar Lote,Sim,GAP Crítico,GAP (Logística),"Ação de ""Despacho"": O usuário seleciona várias guias e clica em ""Enviar Lote"". O sistema deve alterar o status para ""Enviado"" e gerar um número de protocolo de transporte único.","Crítico. Não há endpoint para ""Fechar Lote"" ou gerar protocolo na Shift.",VPortalLogistica_enviar_lote_id21,"LoteId, NumeroLote, TipoLote, StatusLote, DataCriacao, DataFechamento, OsId, CodigoOs, AmostraId, CodigoBarra, Destino, Transportadora, ProtocoloPdfUrl",View para controle de lotes/protocolo/logística (leitura). Ações de 'fechar/enviar' exigem API.
26,22,Logística,Menu Amostras,Sim,Parcial,WsGetListaExPaciente,"Relatório Operacional focado na logística do tubo. Filtros: Data, Paciente, Referência, Lote e Situação (Aguardando Coleta, Recebido no NTO, Pendente de Envio).",Lógica Portal: Filtrar o retorno onde o status do item condiz com etapa de coleta/triagem.,VPortalAmostrasEtiquetas_menu_amostras_id22,"OsId, CodigoOs, AmostraId, CodigoBarra, MaterialId, MaterialNome, ConservanteId, ConservanteNome, EtiquetaEpl, Setor, DataColeta, HoraColeta, ProcedimentoId, ProcedimentoMnemonico, OsProcedimentoId",View para amostras e etiquetas (EPL) por OS/procedimento.
27,23,Logística,Menu Exames,Sim,Parcial,WsGetListaExPaciente,"Relatório Analítico focado no status técnico. Visão hierárquica agrupada por Paciente > Exames. Colunas: Exame, Status (Analítico), Data Solicitação e Valor.",Lógica Portal: Filtrar retorno por status analítico e agrupar o JSON por codPaciente.,VPortal_logistica_menu_exames_id23,"OsId, CodigoOs, Campo1, Campo2",Necessário detalhar campos conforme GAP.
28,24,Logística,Menu Resultados,Sim,Parcial,WsGetListaExPaciente,"Relatório focado na entrega final. Filtros avançados: Período (Solicitação, Prazo ou Assinatura) e Flags (Somente Não Impressos / Somente Portal).",Lógica Portal: Filtrar retorno onde urlPdf != null (Laudos disponíveis).,VPortalResultados_menu_resultados_id24,"OsId, CodigoOs, OsProcedimentoId, ProcedimentoId, ProcedimentoMnemonico, ProcedimentoDescricao, StatusResultado, DataLiberacao, HoraLiberacao, UrlPdf, UrlArquivos, HashDocumento",View para expor resultados e/ou URLs de laudo; facilita filtros e downloads no Portal.
29,25,Logística,Etiquetas em Massa,Sim,GAP Crítico,GAP (EPL),"Funcionalidade dentro do Menu Amostras: Permitir selecionar múltiplos tubos via checkbox e clicar em ""Imprimir Etiquetas"" para reimpressão em lote (caso tenha perdido/danificado).",Mesmo GAP do Agente EPL. Falta endpoint para gerar a string ZPL das etiquetas selecionadas.,VPortalAmostrasEtiquetas_etiquetas_em_massa_id25,"OsId, CodigoOs, AmostraId, CodigoBarra, MaterialId, MaterialNome, ConservanteId, ConservanteNome, EtiquetaEpl, Setor, DataColeta, HoraColeta, ProcedimentoId, ProcedimentoMnemonico, OsProcedimentoId",View para amostras e etiquetas (EPL) por OS/procedimento.
30,26,Logística,Protocolo (PDF),Sim,Adapt,Gerar Local,"Geração de documento PDF (""Folha de Rosto"") ao fechar o lote, listando todas as amostras e pacientes contidos naquele envio físico. Deve ter código de barras do lote.",Shift não gera esse PDF via API. Portal deve gerar o PDF com base nos itens do lote fechado.,VPortalLogistica_protocolo_pdf_id26,"LoteId, NumeroLote, TipoLote, StatusLote, DataCriacao, DataFechamento, OsId, CodigoOs, AmostraId, CodigoBarra, Destino, Transportadora, ProtocoloPdfUrl",View para controle de lotes/protocolo/logística (leitura). Ações de 'fechar/enviar' exigem API.
32,27,Resultados,Download PDF,Sim,Adapt,urlPdf,Permite baixar o laudo final assinado digitalmente. A API deve retornar o arquivo em Base64 para download direto sem redirecionar para URL externa se possível.,"Shift retorna URL. Portal deve baixar e converter para Base64 se o requisito de ""não redirecionar"" for estrito.",VPortalResultados_download_pdf_id27,"OsId, CodigoOs, OsProcedimentoId, ProcedimentoId, ProcedimentoMnemonico, ProcedimentoDescricao, StatusResultado, DataLiberacao, HoraLiberacao, UrlPdf, UrlArquivos, HashDocumento",View para expor resultados e/ou URLs de laudo; facilita filtros e downloads no Portal.
33,28,Resultados,Download ZIP,Sim,Parcial,Lógica Mid.,Funcionalidade de download em massa no Menu Resultados. O usuário seleciona 50 exames e baixa um único arquivo .ZIP contendo todos os PDFs nomeados corretamente.,"Portal itera sobre as URLs retornadas, baixa os arquivos temporariamente e compacta em ZIP para entrega.",VPortalResultados_download_zip_id28,"OsId, CodigoOs, OsProcedimentoId, ProcedimentoId, ProcedimentoMnemonico, ProcedimentoDescricao, StatusResultado, DataLiberacao, HoraLiberacao, UrlPdf, UrlArquivos, HashDocumento",View para expor resultados e/ou URLs de laudo; facilita filtros e downloads no Portal.
37,31,Fora Escopo,Módulo Financeiro,Não,FORA,,"Geração de Faturas, Boletos Bancários e Controle de Contas a Pagar/Receber. Removido explicitamente a pedido do cliente (Minuto 00:42) para não onerar o projeto.",Removido.,VPortal_fora_escopo_modulo_financeiro_id31,"OsId, CodigoOs, Campo1, Campo2",Necessário detalhar campos conforme GAP. Item marcado como FORA/Fase 2 na matriz; view sugerida é opcional e depende priorização.
38,32,Fora Escopo,BI / Dashboard,Não,FORA,,"Gráficos gerenciais de produção, faturamento e performance. Previsto apenas para uma futura Fase 2, após estabilização da operação.",Fase 2.,VPortalDashboardConsolidado_bi_dashboard_id32,"OsId, CodigoOs, DataCadastro, HoraCadastro, OsStatus, PacienteNome, PacienteCpf, PacienteRg, SolicitanteNome, NumeroGuia, NumeroLote, FontePagadora, ProcedimentoMnemonico, ProcedimentoStatus, DataPromessa, HoraPromessa, Setor",View consolidada para consultas e filtros do dashboard (join OS + Procedimentos + Cobrança). Item marcado como FORA/Fase 2 na matriz; view sugerida é opcional e depende priorização.
39,33,Fora Escopo,Visualização Imagem,Não,FORA,,Visualizador Web de imagens radiológicas (PACS/DICOM) integrado ao portal. Previsto apenas para Fase 2 devido à complexidade de integração.,Fase 2.,VPortal_fora_escopo_visualizacao_imagem_id33,"OsId, CodigoOs, Campo1, Campo2",Necessário detalhar campos conforme GAP. Item marcado como FORA/Fase 2 na matriz; view sugerida é opcional e depende priorização.
40,34,Fora Escopo,B2C (Paciente),Não,FORA,,"Portal voltado para o paciente final (Venda direta, Agendamento Domiciliar). Escopo atual é estritamente B2B (Laboratório Apoiado).",Fase 2.,VPortal_fora_escopo_b2c_paciente_id34,"OsId, CodigoOs, Campo1, Campo2",Necessário detalhar campos conforme GAP. Item marcado como FORA/Fase 2 na matriz; view sugerida é opcional e depende priorização.
